"","name","author","license","version","n.depends","n.imports","n.suggests","n.Rfiles","mean.length.Rfiles","median.length.Rfiles","sd.length.Rfiles","min.length.Rfiles","max.length.Rfiles","sum.length.Rfiles","mean.length.funs","sd.length.funs","min.length.funs","max.length.funs","mean.param.funs","sd.param.funs","min.param.funs","max.param.funs","prop.exported.funs","n.exported.funs","n.all.funs","prop.underscore.exp","prop.underscore.all","prop.cc.exp","prop.cc.all"
"11","brew","Jeffrey Horner","GPL-2","x.x-x","0","0","0","1","312","312",NA,"312","312","312","48","98.4098572298527","2","224","2","3.39116499156263","0","8","0.714285714285714","5","7","0","0","0.8","0.571428571428571"
"12","cfa","Stefan Funke <s.funke@t-online.de> with contributions from
Patrick Mair <patrick.mair@wu-wien.ac.at>, Alexander von Eye
<voneye@msu.edu> (fCFA, kvCFA) and Joachim Harloff
<joachimharloff@joachimharloff.de>","GPL (>= 2)","x.x-x","1","0","1","8","107.5","38.5","173.471282102502","16","526","860","74.125","48.8713690649824","38","186","5.75","3.61544306709822","2","14","0.363636363636364","8","22","0","0","0.25","0.272727272727273"
"13","changepoint","Rebecca Killick <r.killick@lancs.ac.uk> and Idris Eckley with
contributions from Paul Fearnhead","GPL","x.x.x","3","0","0","11","365.454545454545","338","275.756183479669","7","998","4020","54.4197530864198","44.6301087264895","24","181","3.35802469135802","2.28751307086598","1","10","0.975903614457831","81","83","0","0","0.0123456790123457","0.0120481927710843"
"14","chron","David James [aut] (S original), Kurt Hornik [aut, trl, cre],
Gabor Grothendieck [ctb]","GPL-2","x.x-x","1","2","2","7","292.285714285714","350","270.263892202735","16","635","2046","16.9047619047619","27.3274674309654","2","104","2.0952380952381","1.30018313728343","1","5","0.214285714285714","21","98","0.142857142857143","0.0408163265306122","0","0.0102040816326531"
"15","classifly","Hadley Wickham <h.wickham@gmail.com>","MIT","x.x","6","0","2","4","87","97.5","57.5905084772367","18","135","348","7.55555555555556","8.7337150043826","2","27","3.44444444444444","2.12785755580062","1","7","0.391304347826087","9","23","0.111111111111111","0.0869565217391304","0","0.0434782608695652"
"16","cluster","Martin Maechler, based on S original by Peter Rousseeuw
<rousse@uia.ua.ac.be>, Anja.Struyf@uia.ua.ac.be and
Mia.Hubert@uia.ua.ac.be, and initial R port by
Kurt.Hornik@R-project.org","GPL (>= 2)","x.x.x","4","0","1","16","164","157.5","125.203833807116","7","521","2624","44.375","50.2946211144241","3","143","4.83333333333333","4.89602027086833","1","20","0.333333333333333","24","72","0","0","0.25","0.152777777777778"
"17","coda","Martyn Plummer [aut, cre, trl], Nicky Best [aut], Kate Cowles
[aut], Karen Vines [aut], Deepayan Sarkar [aut], Russell Almond
[ctb]","GPL (>= 2)","x.x-x","2","0","0","18","211.388888888889","100.5","246.910114363838","0","934","3805","28.875","28.7384574424274","2","129","3.1875","2.80316120941295","0","14","0.355555555555556","48","135","0","0","0.0833333333333333","0.0592592592592593"
"18","codetools","Luke Tierney <luke@stat.uiowa.edu>","GPL","x.x-x","1","0","0","1","1145","1145",NA,"1145","1145","1145","9.78947368421053","7.34528531605608","2","30","3.68421052631579","3.36737008458377","1","13","0.25","19","76","0","0","1","0.921052631578947"
"19","colorspace","Ross Ihaka [aut], Paul Murrell [aut], Kurt Hornik [aut], Jason
C. Fisher [aut], Achim Zeileis [aut, cre]","BSD","x.x-x","2","0","7","4","338.75","197.5","412.197666983532","29","931","1355","45.2222222222222","154.856592053952","2","819","4.11111111111111","2.3424729426782","1","8","0.892857142857143","27","28","0.259259259259259","0.25","0.148148148148148","0.142857142857143"
"20","combinat","Scott Chasalow","GPL-2","x.x-x","0","0","0","13","39.6923076923077","38","28.6047333361241","4","93","516","23.9230769230769","23.8588262440462","2","71","2.76923076923077","1.23516841994969","1","5","1","13","13","0","0","0.0769230769230769","0.0769230769230769"
"21","data.table","M Dowle, T Short, S Lianoglou","GPL (>= 2)","x.x.x","1","1","10","24","111.666666666667","23","348.390793402375","5","1724","2680","14.1777777777778","21.3384936940571","3","115","2.08888888888889","1.48969524373005","1","9","0.346153846153846","45","130","0","0","0","0.00769230769230769"
"22","dbConnect","Dason Kurkiewicz, Heike Hofmann, Ulrike Genschel","GPL","x.x","2","0","1","1","904","904",NA,"904","904","904","181","298.789223366573","6","526","1.33333333333333","0.577350269189626","1","2","1","3","3","0","0","0.333333333333333","0.333333333333333"
"23","devtools","Hadley Wickham [aut, cre], Winston Chang [aut], R Core team
[ctb] (Namespace related code extracted out of base R)","GPL (>= 2)","x.x","1","8","5","61","70.5737704918033","61","51.2969976432648","10","257","4305","15.1830985915493","14.3081493853328","2","86","2.36619718309859","1.93641374430539","0","9","0.358585858585859","71","198","0.746478873239437","0.772727272727273","0","0.0202020202020202"
"24","directlabels","Toby Dylan Hocking","GPL-3","x.x","1","0","14","11","199","107","321.592599417337","5","1131","2189","18.2588235294118","29.5651632762584","0","171","2.02352941176471","1.6181740929078","0","10","1","85","69","0.0117647058823529","0.0144927536231884","0.0117647058823529","0.0144927536231884"
"25","distr","Florian Camphausen, Matthias Kohl, Peter Ruckdeschel, Thomas
Stabla","LGPL-3","x.x","6","1","2","72","177.513888888889","70.5","265.065285237778","4","1270","12781","26.7380952380952","27.6178450718016","3","224","1.96428571428571","2.0352959064619","0","21","0.672131147540984","168","244","0","0","0.160714285714286","0.122950819672131"
"26","dlm","Giovanni Petris <GPetris@uark.edu>.  Original C code for ARMS
by Wally Gilks.","GPL (>= 2)","x.x-x","0","0","1","3","754.666666666667","111","1208.71267608697","4","2149","2264","31.3207547169811","51.8525177731945","2","244","2.69811320754717","2.49295087473874","1","15","0.646341463414634","53","82","0","0","0.415094339622642","0.317073170731707"
"27","DMwR","Luis Torgo","GPL (>= 2)","x.x.x","13","0","0","11","331.090909090909","172","409.247713382849","22","1190","3642","21.4090909090909","27.7843216845136","0","164","3.83333333333333","2.45315077358664","0","13","0.65625","66","96","0","0","0.560606060606061","0.635416666666667"
"28","e1071","David Meyer [aut, cre], Evgenia Dimitriadou [aut], Kurt Hornik
[aut], Andreas Weingessel [aut], Friedrich Leisch [aut]","GPL-2","x.x-x","1","4","9","33","101.484848484848","38","149.784245085248","0","704","3349","27.9655172413793","34.2959081581817","2","180","4.25862068965517","3.36942050735047","1","15","0.644444444444444","58","90","0.0172413793103448","0.0111111111111111","0.172413793103448","0.155555555555556"
"29","esotericR","Jeffrey A. Ryan","GPL-2","x.x","0","0","0","1","43","43",NA,"43","43","43","6.66666666666667","7.22956891292051","2","16","1.66666666666667","1.36626010212795","0","3","0.6","6","10","0.333333333333333","0.2","0","0"
"30","evaluate","Hadley Wickham <h.wickham@gmail.com>","GPL","x.x.x","1","1","2","9","75","70","48.6364061172287","25","164","675","8.07692307692308","10.3477979820309","2","36","2.07692307692308","2.2159098380251","1","7","0.342105263157895","13","38","0.384615384615385","0.447368421052632","0","0.0263157894736842"
"31","ez","Michael A. Lawrence <mike.lwrnc@gmail.com>","GPL (>= 2)","x.x-x","11","0","0","15","225.533333333333","151","199.534410446872","45","733","3383","162.142857142857","130.572029719442","42","488","11.4285714285714","8.86405260427918","0","29","0.666666666666667","14","21","0.0714285714285714","0.380952380952381","0.928571428571429","0.952380952380952"
"32","flexmix","Bettina Gruen and Friedrich Leisch","GPL (>= 2)","x.x-x","2","5","13","35","153.914285714286","102","149.345310769168","13","587","5387","39.8611111111111","46.8624915496498","6","327","2.93055555555556","2.17104108789327","0","13","0.508771929824561","72","114","0.0277777777777778","0.105263157894737","0.0972222222222222","0.228070175438596"
"33","foreach","Revolution Analytics","Apache License (== 2.0)","x.x.x","1","3","1","6","173.833333333333","61.5","240.684371463264","23","635","1043","10.8260869565217","17.0604597985385","4","87","1.82608695652174","2.63976882446935","0","12","0.410714285714286","23","56","0","0","0.652173913043478","0.589285714285714"
"34","foreign","R Core Team [aut, cph, cre], Roger Bivand [ctb, cph], Vincent
J. Carey [ctb, cph], Saikat DebRoy [ctb, cph], Stephen Eglen
[ctb, cph], Rajarshi Guha [ctb, cph], Nicholas Lewin-Koh [ctb,
cph], Mark Myatt [ctb, cph], Ben Pfaff [ctb], Frank Warmerdam
[ctb, cph], Stephen Weigand [ctb, cph], Free Software
Foundation, Inc. [cph]","GPL (>= 2)","x.x-x","2","2","0","14","126.642857142857","125.5","79.1440819915533","21","277","1773","64.7058823529412","49.6283244552473","3","170","3.35294117647059","2.2622217085917","1","8","0.62962962962963","17","27","0","0.037037037037037","0","0.148148148148148"
"35","formatR","Yihui Xie","GPL-2 | GPL-3","x.x","0","0","3","6","97","60","98.0510071340422","4","269","582","29","38.5616389693177","2","118","3.11111111111111","2.84800124843918","1","10","0.5625","9","16","0.111111111111111","0.4375","0","0"
"36","fortunes","Achim Zeileis (R code) and the R community (fortunes).
Contributions (fortunes and/or code) by Torsten Hothorn, Peter
Dalgaard, Uwe Ligges, Kevin Wright, Martin Maechler, Kjetil
Brinchmann Halvorsen, Kurt Hornik, Duncan Murdoch, Andy Bunn,
Ray Brownrigg, Roger Bivand, Spencer Graves, Jim Lemon,
Christian Kleiber, David L. Reiner, Berton Gunter, Roger
Koenker, Charles Berry, Marc Schwartz, Michael Dewey, Ben
Bolker, Peter Dunn, Sarah Goslee, Simon Blomberg, Bill
Venables, Roland Rau, Thomas Petzoldt, Rolf Turner, Mark Leeds,
Emmanuel Charpentier, Chris Evans, Paolo Sonego, Peter Ehlers,
Detlef Steuer, Tal Galili, Greg Snow, Brian D. Ripley, Michael
Sumner, David Winsemius, Liviu Andronic, Brian Diggs, Matthieu
Stigler, Michael Friendly, Dirk Eddelbuettel, Richard M.
Heiberger, Patrick Burns, Dieter Menne, Andrie de Vries, Barry
Rowlingson, Renaud Lancelot, R. Michael Weylandt, Jon Olav
Skoien, Francois Morneau.","GPL-2","x.x-x","0","1","0","1","158","158",NA,"158","158","158","29.5","3.53553390593274","27","32","2.5","2.12132034355964","1","4","0.5","2","4","0","0","0","0.25"
"37","fun","Yihui Xie, Taiyun Wei and Yixuan Qiu","GPL","x.x-x","0","0","0","11","79.8181818181818","61","53.6186873800883","23","188","878","57","48.1156015353764","6","161","5.2","6.42564307201146","1","22","1","10","10","0.7","0.7","0","0"
"38","FunCluster","Corneliu Henegar <corneliu@henegar.info>","GPL (>= 2)","x.x","3","0","0","3","53371.6666666667","2492","89769.6724530803","600","157023","160115","29.7945205479452","47.7417703507659","0","218","2.04109589041096","3.29746685673001","0","20","0.973684210526316","73","38","0","0","0.0136986301369863","0.0263157894736842"
"39","functional","Peter Danenberg <pcd@roxygen.org>","GPL (>= 2)","x.x","0","0","0","1","58","58",NA,"58","58","58","5","0","5","5","1.5","0.707106781186548","1","2","0.5","2","4","0","0","0","0"
"40","FunNet","Corneliu Henegar <corneliu@henegar.info>","GPL (>= 2)","x.x-x","7","0","0","3","54837.6666666667","7076","88440.1832558783","547","156890","164513","57.4444444444444","138.235407106059","0","421","5.44444444444444","14.1784264916026","0","43","0.0428571428571429","9","70","0","0","0","0"
"41","gam","Trevor Hastie","GPL-2","x.x.x","2","0","1","50","44.12","28","45.4858758073227","2","206","2206","41.9024390243902","43.7423163984538","0","203","5.5609756097561","4.18956310662463","0","15","0.8125","41","48","0","0","0","0"
"42","gamclass","John Maindonald","GPL (>= 2)","x.x","11","1","10","9","43.8888888888889","47","28.5851554326911","17","109","395","43.2222222222222","28.7609882383141","17","109","6","2.73861278752583","3","10","1","9","9","0","0","0.444444444444444","0.444444444444444"
"43","gamlr","Matt Taddy <taddy@chicagobooth.edu>","GPL-3","x.x","2","0","0","7","121.142857142857","60","124.630692543248","33","389","848","16.9","9.19480529671208","10","42","3.8","3.70585122924995","1","14","0.37037037037037","10","27","0","0","0","0"
"44","gdata","Gregory R. Warnes, with contributions from Ben Bolker, Gregor
Gorjanc, Gabor Grothendieck, Ales Korosec, Thomas Lumley, Don
MacQueen, Arni Magnusson, Jim Rogers, and others","GPL-2","x.x.x.x","1","1","0","42","59.0476190476191","37","64.9622601061204","9","353","2480","16.9838709677419","21.1811019508412","2","117","3.70967741935484","2.43193976935631","1","16","0.476923076923077","62","130","0.032258064516129","0.0307692307692308","0.5","0.553846153846154"
"45","geoR","Paulo J. Ribeiro Jr <paulojus@ufpr.br> and Peter J. Diggle
<p.diggle@lancaster.ac.uk>","GPL (>= 2)","x.x-x","5","2","5","21","717.142857142857","517","620.632764661542","35","2507","15060","95.1168831168831","162.478255551318","0","962","6.53246753246753","6.06019023408293","0","24","0.320754716981132","77","212","0.012987012987013","0.0188679245283019","0.0909090909090909","0.089622641509434"
"46","geoRglm","Ole F. Christensen <OleF.Christensen@agrsci.dk> and  Paulo J. Ribeiro Jr <Paulo.Ribeiro@est.ufpr.br>","GPL (>= 2)","x.x-x","3","0","1","14","328.714285714286","252","282.006390699935","10","936","4602","111.789473684211","101.181124143987","10","380","7.36842105263158","3.49937337749028","0","13","0.27536231884058","19","69","0","0.0144927536231884","0.0526315789473684","0.0579710144927536"
"47","GGally","Barret Schloerke <schloerke@gmail.com>, Jason Crowley
<crowley.jason.s@gmail.com>, Di Cook <dicook@iastate.edu>,
Heike Hofmann <hofmann@iastate.edu>, and Hadley Wickham
<h.wickham@iastate.edu>","GPL (>= 2.0)","x.x.x","3","4","1","4","646.5","694.5","481.01593875186","73","1124","2586","38.6521739130435","58.393343873216","4","216","4.30434782608696","3.11060915707249","1","14","0.605263157894737","23","38","0.782608695652174","0.684210526315789","0.260869565217391","0.263157894736842"
"48","ggmap","David Kahle <david.kahle@gmail.com>, Hadley Wickham
<h.wickham@gmail.com>","MIT","x.x","2","8","2","27","153.037037037037","57","169.717521302419","5","672","4132","60.9642857142857","67.7580019289001","6","253","5.96428571428571","5.16026228774341","0","22","0.736842105263158","28","38","0.392857142857143","0.552631578947368","0.107142857142857","0.0789473684210526"
"49","ggmcmc","Xavier Fernández i Marín <xavier.fim@gmail.com>","GPL-2","x.x","3","0","3","16","54.9375","46.5","39.4418876323129","10","129","879","33.7142857142857","23.4797083307417","6","80","3.64285714285714","2.0608863984346","1","8","0.875","14","16","0.714285714285714","0.75","0","0"
"50","ggparallel","Heike Hofmann, Marie Vendettuoli","MIT","x.x.x","4","0","1","3","115.333333333333","31","166.386097175615","8","307","346","188",NA,"188","188","14",NA,"14","14","1","1","1","0","0","0","0"
"51","ggplot2","Hadley Wickham <h.wickham@gmail.com>, Winston Chang
<winston@stdout.org>","GPL-2","x.x.x.x","3","8","9","164","106.048780487805","78.5","97.2420170286707","1","617","17392","9.14224137931035","13.1765083555412","2","131","4.33620689655172","3.7218064913077","0","22","0.382838283828383","232","606","0.836206896551724","0.744224422442244","0.00431034482758621","0.0346534653465347"
"52","ggsubplot","Garrett Grolemund <grolemund@rice.edu>, Hadley Wickham
<h.wickham@gmail.com>","GPL","x.x.x","2","6","0","18","121.777777777778","121","77.3065369396067","2","290","2192","19.4857142857143","21.1428912105108","2","92","3.11428571428571","2.78410856544814","1","13","0.53968253968254","35","63","0.714285714285714","0.793650793650794","0","0"
"53","ggthemes","Jeffrey B. Arnold <jeffrey.arnold@gmail.com>","GPL-2","x.x.x","2","5","2","19","150.368421052632","101","130.793820159107","12","512","2857","10.0983606557377","10.8699968077775","0","62","2.19672131147541","1.84227822845472","0","11","0.810810810810811","61","74","1","0.986486486486487","0","0"
"54","gridExtra","Baptiste Auguie","GPL (>= 2)","x.x.x","2","0","5","16","114.75","72","107.599566294045","15","457","1836","14.3103448275862","16.5117787798741","0","87","3.81034482758621","5.30956401736023","0","33","0.863636363636364","58","66","0","0","0.603448275862069","0.545454545454545"
"55","gsubfn","G. Grothendieck","GPL (>= 2)","x.x-x","2","0","10","4","139.5","109","134.89378537699","17","323","558","39.3333333333333","39.4722764235939","0","137","4.66666666666667","3.74974746624437","0","12","0.916666666666667","12","12","0","0","0.0833333333333333","0.0833333333333333"
"56","gtable","Hadley Wickham <h.wickham@gmail.com>","GPL-2","x.x.x","2","0","2","13","84","72","61.7413961617325","28","257","1092","11.4444444444444","8.38922433645211","2","36","3.27777777777778","2.71825107171668","1","9","0.333333333333333","18","54","0.888888888888889","0.574074074074074","0","0.111111111111111"
"57","gtools","Gregory R. Warnes. Includes R source code and/or documentation
contributed by Ben Bolker and Thomas Lumley","LGPL-2.1","x.x.x","0","0","0","24","55.75","28","55.2812964675254","3","192","1338","22.9666666666667","27.6872724816162","2","108","2.5","2.14556479181172","1","10","0.967741935483871","30","31","0","0","0.1","0.129032258064516"
"58","gWidgets","John Verzani. Based on the iwidgets code of Simon Urbanek and
suggestions by Simon Urbanek, Philippe Grosjean and Michael
Lawrence","GPL (>= 2)","x.x-x","2","0","3","50","145.7","64.5","193.402957789256","11","960","7285","20.1056338028169","15.6507574631362","2","134","4.64084507042254","2.49919575516507","0","12","0.45928338762215","142","307","0","0.00325732899022801","0.28169014084507","0.192182410423453"
"59","gWidgetsRGtk2","Michael Lawrence, John Verzani","GPL (>= 2)","x.x-x","2","1","1","44","360.931818181818","276.5","403.43653993504","7","1953","15881","23.5882352941176","4.07026520309542","2","33","3.43137254901961","1.02479074860743","2","6","0.0166666666666667","51","180","0","0","0.137254901960784","0.711111111111111"
"60","hash","Christopher Brown","GPL (>= 2)","x.x.x","3","0","1","15","38.5333333333333","25","40.6006098945511","12","159","578","17","10.7238052947636","2","33","1.64705882352941","0.785905247993376","1","3","0.894736842105263","17","19","0","0","0","0"
"61","hashFunction","Xiaowei Zhan","GPL","x.x","0","0","2","1","49","49",NA,"49","49","49","14","0","14","14","1","0","1","1","1","3","3","0","0","0","0"
"62","HLMdiag","Adam Loy <aloy@iastate.edu>","GPL-2","x.x.x","2","7","2","12","194","149.5","159.69573342055","21","617","2328","35.24","41.3987519940718","4","158","2.84","1.57268348161139","1","7","0.434782608695652","25","46","0.24","0.347826086956522","0.04","0.108695652173913"
"63","Hmisc","Frank E Harrell Jr <f.harrell@vanderbilt.edu>, with
contributions from Charles Dupont and many others.","GPL (>= 2)","x.x-x","3","3","12","128","229.828125","97","411.777673163737","1","2828","29418","43.7766798418972","68.5749682243785","0","601","5.48418972332016","6.30297329142752","0","66","0.998019801980198","506","505","0","0","0.264822134387352","0.265346534653465"
"64","httr","Hadley Wickham <h.wickham@gmail.com>","MIT","x.x","0","4","6","39","48.4358974358974","31","43.6594445511566","11","217","1889","10.4565217391304","10.4428742781097","2","48","2.30434782608696","1.97618673451216","0","9","0.48936170212766","46","94","0.695652173913043","0.627659574468085","0","0"
"65","inline","Oleg Sklyar, Duncan Murdoch, Mike Smith, Dirk Eddelbuettel,
Romain Francois","LGPL","x.x.x","2","0","1","5","132.4","142","103.379398334484","27","272","662","90.125","129.772809720901","2","375","4.625","3.37797487937881","2","11","0.727272727272727","8","11","0","0","0.5","0.545454545454545"
"66","int64","Romain Francois, sponsored by the Google Open Source Programs
Office","GPL (>= 2)","x.x.x","1","0","1","1","332","332",NA,"332","332","332","33.2142857142857","30.4685930891987","4","122","1.64285714285714","0.841897386141095","1","3","0.421052631578947","14","19","0.0714285714285714","0.315789473684211","0","0"
"67","iplots","Simon Urbanek <simon.urbanek@r-project.org>, Tobias Wichtrey
<tobias@tarphos.de>","GPL-2","x.x-x","3","0","2","1","1401","1401",NA,"1401","1401","1401","13.2368421052632","10.5891371018324","2","49","1.84210526315789","1.43343532888835","0","7","0.684684684684685","76","111","0","0","0.0921052631578947","0.0630630630630631"
"68","jpeg","Simon Urbanek <Simon.Urbanek@r-project.org>","GPL-2 | GPL-3","x.x-x","1","0","0","2","5","5","4.24264068711928","2","8","10","8.5","7.77817459305202","3","14","3.5","2.12132034355964","2","5","1","2","2","0","0","1","1"
"69","Julia","Mehmet Suzen","GPL-3","x.x","0","0","0","4","23.25","23.5","7.27438428093173","16","30","93","15.75","1.5","14","17","2.5","1.29099444873581","1","4","1","4","4","0","0","0","0"
"70","kernlab","Alexandros Karatzoglou, Alex Smola, Kurt Hornik","GPL-2","x.x-x","2","0","0","22","567.545454545455","298.5","775.122769217436","13","3116","12486","28.8539325842697","22.5446781473618","11","186","1.8876404494382","1.86741314905254","0","12","0.389380530973451","89","226","0","0","0.0674157303370786","0.212389380530973"
"71","KernSmooth","Matt Wand [aut], Brian Ripley [trl, cre, ctb] (R port and
updates)","Unlimited","x.x-x","2","0","1","1","890","890",NA,"890","890","890","66.1428571428571","19.4887024660321","47","88","7.57142857142857","1.98805959477601","5","11","0.4375","7","16","0","0","0","0"
"72","knitr","Yihui Xie","GPL","x.x","1","6","7","34","135.264705882353","97","112.045258394538","8","430","4599","17.9253731343284","22.0614248783185","0","133","1.65671641791045","1.72812947401773","0","7","0.266355140186916","67","214","0.865671641791045","0.803738317757009","0","0.00467289719626168"
"73","lattice","Deepayan Sarkar <deepayan.sarkar@r-project.org>","GPL (>= 2)","x.x-x","1","5","3","32","602.125","501","475.667391926266","24","1923","19268","36.7552447552447","61.7649128691641","2","414","6.97202797202797","6.90370798097197","0","29","0.503521126760563","143","284","0","0.0140845070422535","0.0699300699300699","0.172535211267606"
"74","lda","Jonathan Chang","LGPL","x.x.x","1","0","4","22","16.9090909090909","11","15.2905482504999","5","68","372","13.4761904761905","10.4288975813316","4","44","5.28571428571429","4.31442762302089","1","15","0.807692307692308","21","26","0","0","0","0"
"75","LearnBayes","Jim Albert","GPL (>= 2)","x.x","0","0","0","72","20.2638888888889","17","12.7643794148652","2","75","1459","17.0277777777778","9.85382205424283","2","52","2.91666666666667","1.07139503636318","1","6","1","72","72","0","0","0","0"
"76","lisp","Peter Danenberg <pcd@roxygen.org>","GPL (>= 2)","x.x","0","0","1","1","217","217",NA,"217","217","217","5.7","4.50847155801982","0","20","1.15","0.5871429486124","0","3","0.95","20","20","0","0","0","0"
"77","lme4","Douglas Bates <bates@stat.wisc.edu>, Martin Maechler
<maechler@R-project.org> and Ben Bolker <bolker@mcmaster.ca>","GPL (>= 2)","x.x-x","4","4","6","8","417","114.5","807.858544902156","49","2408","3336","29.1764705882353","13.2222628658682","0","77","3.37254901960784","3.58307568613182","0","16","0.352941176470588","51","102","0.0392156862745098","0.0392156862745098","0.137254901960784","0.362745098039216"
"78","lubridate","Garrett Grolemund <grolemund@rice.edu>, Hadley Wickham
<h.wickham@gmail.com>","GPL","x.x.x","2","3","1","41","131.121951219512","79","157.874823059592","1","576","5376","7.62251655629139","10.7155598527589","0","65","2.05298013245033","1.4641861424022","0","7","0.567049808429119","151","261","0.304635761589404","0.417624521072797","0.00662251655629139","0.0191570881226054"
"79","mapplots","Hans Gerritsen","GPL (>= 2)","x.x","1","0","2","23","23","21","15.9002572877983","7","74","529","21.6538461538461","17.2021912736542","6","81","6.23076923076923","4.51050056918469","0","16","1","26","26","0","0","0.153846153846154","0.153846153846154"
"80","markdown","JJ Allaire, Jeffrey Horner, Vicent Marti, and Natacha Porte","GPL-3","x.x.x","1","0","1","2","415.5","415.5","6.36396103067893","411","420","831","44.3333333333333","77.1783648440416","2","242","2.77777777777778","2.90593262902712","0","8","0.6","9","15","0","0","0.888888888888889","0.533333333333333"
"81","MASS","Brian Ripley [aut, cre, cph], Bill Venables [ctb], Kurt Hornik
[trl] (partial port ca 1998), Albrecht Gebhardt [trl] (partial
port ca 1998), David Firth [ctb]","GPL-2 | GPL-3","x.x-x","5","0","4","44","140.431818181818","75.5","141.164492163504","4","518","6179","27.2875","36.2058788673464","3","187","4.025","3.47495560485256","1","17","0.368663594470046","80","217","0","0.00921658986175115","0.0375","0.0599078341013825"
"82","matlab","P. Roebuck","Artistic-2.0","x.x.x","2","0","0","47","41.7021276595745","27","40.1653727642069","8","243","1960","21.6","16.9308755076205","0","72","1.55555555555556","1.05648550210669","0","5","0.754385964912281","45","57","0","0.0701754385964912","0","0.087719298245614"
"83","Matrix","Douglas Bates <bates@stat.wisc.edu> and Martin Maechler
<maechler@stat.math.ethz.ch>","GPL (>= 2)","x.x-x","5","2","2","71","236.154929577465","107","332.917992814503","6","1660","16767","40.6857142857143","26.7518203139504","3","161","3.08571428571429","2.27914578175805","1","13","0.237851662404092","105","391","0","0.0997442455242967","0.276190476190476","0.39386189258312"
